name	description	level	effect
Outdoorsman	Improves fishing, grilling, and transporting abilities.	1	Improves fishing, grilling, and transporting abilities.
Entomologist	The bodies of small insect monsters won't be destroyed, allowing them to be carved.	1	Activates skill effect.
Geologist	Increases the number of items you gain at gathering points.	1	One extra item when gathering from bonepiles.
Geologist	Increases the number of items you gain at gathering points.	2	Additionally adds one extra item when gathering special items.
Geologist	Increases the number of items you gain at gathering points.	3	Additionally adds one extra item when gathering from mining outcrops.
Botanist	Increases the quantity of herbs and other consumable items you gather.		One extra consumable herb item per gather.
Botanist	Increases the quantity of herbs and other consumable items you gather.	2	Additionally adds one extra consumable fruit, nut, or seed item per gather.
Botanist	Increases the quantity of herbs and other consumable items you gather.	3	Additionally adds one extra consumable insect item per gather.
Botanist	Increases the quantity of herbs and other consumable items you gather.	4	Additionally adds one extra consumable mushroom item per gather.
Blindsider	Improves the effectiveness of flash attacks and items.	1	Improves the effectiveness of flash attacks and items.
Free Meal	Gives you a predetermined chance of consuming a food or drink item for free.	1	Activates 10% of the time.
Free Meal	Gives you a predetermined chance of consuming a food or drink item for free.	2	Activates 25% of the time.
Free Meal	Gives you a predetermined chance of consuming a food or drink item for free.	3	Activates 45% of the time.
Item Prolonger	Extends the duration of some item effects.	1	Item effect duration +10%
Item Prolonger	Extends the duration of some item effects.	2	Item effect duration +25%
Item Prolonger	Extends the duration of some item effects.	3	Item effect duration +50%
Mushroomancer	Lets you digest mushrooms that would otherwise be inedible and gain their advantageous effects.	1	Lets you digest blue mushrooms and toadstools.
Mushroomancer	Lets you digest mushrooms that would otherwise be inedible and gain their advantageous effects.	2	Additionally lets you digest nitroshrooms and parashrooms.
Mushroomancer	Lets you digest mushrooms that would otherwise be inedible and gain their advantageous effects.	3	Additionally lets you digest mandragoras, devil's blight, and exciteshrooms.
Bombardier	Increases the damage of explosive items.	1	Explosive power +10%
Bombardier	Increases the damage of explosive items.	2	Explosive power +20%
Bombardier	Increases the damage of explosive items.	3	Explosive power +30%
Tool Specialist	Reduces the recharge time for specialized tools.	1	Shortens recharge time by 10%.
Tool Specialist	Reduces the recharge time for specialized tools.	2	Shortens recharge time by 20%.
Tool Specialist	Reduces the recharge time for specialized tools.	3	Shortens recharge time by 30%.
Tool Specialist	Reduces the recharge time for specialized tools.	4	Shortens recharge time by 40%.
Tool Specialist	Reduces the recharge time for specialized tools.	5	Shortens recharge time by 50%.
Wide-Range	Allows the effects of certain items to also affect nearby allies.	1	Items affect nearby allies with 33% of their efficacy.
Wide-Range	Allows the effects of certain items to also affect nearby allies.	2	Items affect nearby allies in a wider radius with 33% of their efficacy.
Wide-Range	Allows the effects of certain items to also affect nearby allies.	3	Items affect nearby allies in a wider radius with 66% of their efficacy.
Wide-Range	Allows the effects of certain items to also affect nearby allies.	4	Items affect nearby allies in a much wider radius with 66% of their efficacy.
Wide-Range	Allows the effects of certain items to also affect nearby allies.	5	Items affect nearby allies in a much wider radius with full efficacy.
Cliffhanger	Decreases stamina depletion when climbing on vines.	1	Reduces stamina depletion while climbing by 50%.
Jump Master	Prevents attacks from knocking you back during a jump.	1	Negates knockback during jumps.
Leap of Faith	Allows you to do a dive-evade when facing towards large monsters and extends the dive-evade distance.	1	Enables skill use.
Shock Absorber	Disables damage reactions when you hit a friend or when a friend hits you.	1	Activates skill effect.
Aquatic/Oilsilt Mobility	Grants resistance against impairments to mobility while in water, oilsilt, or streams.	1	Negates the effects of muddy streams, and prevents you from being slowed down in water or oilsilt.
Aquatic/Oilsilt Mobility	Grants resistance against impairments to mobility while in water, oilsilt, or streams.	2	Also negates the effects of waves.
Speed Eating	Increases meat-eating and item-consumption speed.	1	Moderately increases eating speed.
Speed Eating	Increases meat-eating and item-consumption speed.	2	Increases eating speed.
Speed Eating	Increases meat-eating and item-consumption speed.	3	Greatly increases eating speed.
Intimidator	Reduces the chance small monsters will attack after spotting you. (Has no effect on certain monsters.)	1	Discourages monsters from engaging you even if you've been spotted.
Intimidator	Reduces the chance small monsters will attack after spotting you. (Has no effect on certain monsters.)	2	Highly discourages monsters from engaging you even if you've been spotted.
Intimidator	Reduces the chance small monsters will attack after spotting you. (Has no effect on certain monsters.)	3	Prevents monsters from engaging you even if you've been spotted.
Flinch Free	Prevents knockbacks and other reactions to small damage.	1	Prevents knockbacks.
Flinch Free	Prevents knockbacks and other reactions to small damage.	2	Prevents knockbacks. Tripping is reduced to a knockback instead.
Flinch Free	Prevents knockbacks and other reactions to small damage.	3	Prevents knockbacks and tripping.
