id	name	slots	damage	element	affinity	skills
1000	Hope Bow I	ーーー	90			
1001	Hope Bow II	ーーー	100			Ballistics 1
1002	Hope Bow III	ーーー	130			Ballistics 1, Critical Eye 1
1003	Hope Bow IV	21ー	160			Ballistics 2, Critical Eye 1
1004	Hope Bow V	32ー	190			Ballistics 3, Critical Eye 1
1005	Nihil Bow I	1ーー	160	11, Water		Focus 2
1006	Nihil Bow II	21ー	190	13, Water		Focus 3
1007	Bookwilthe's Punisher	321	230	15, Water		Focus 3
1008	Rey Perkonis I	ーーー	140	9, Thunder		Focus 1, Special Ammo Boost 1
1009	Rey Perkonis II	21ー	170	11, Thunder		Focus 1, Special Ammo Boost 1
1010	Rey Perkonis III	32ー	200	13, Thunder		Focus 2, Special Ammo Boost 1
1011	Perkonis Clairbow	321	220	15, Thunder		Focus 2, Special Ammo Boost 1
1012	Windbrace Bow I	ーーー	140	9, Ice		Focus 2, Airborne 1
1013	Windbrace Bow II	21ー	170	11, Ice		Focus 2, Airborne 1
1014	Windbrace Bow III	32ー	200	13, Ice		Focus 3, Airborne 1
1015	Windbrace Ibami	321	220	15, Ice		Focus 3, Airborne 1
1016	Quematrice Arco I	ーーー	100	7, Fire	5	Focus 1
1017	Quematrice Arco II	ーーー	140	9, Fire	5	Focus 2
1018	Quematrice Arco III	21ー	170	11, Fire	5	Focus 2
1019	Quematrice Arco IV	32ー	210	13, Fire	5	Focus 3
1020	Firetrail Leviora	321	220	15, Fire	5	Focus 3
1021	Dragon Perforator I	ーーー	120			Tetrad Shot 1
1022	Dragon Perforator II	1ーー	160			Tetrad Shot 2
1023	Dragon Perforator III	21ー	190			Tetrad Shot 3
1024	True Dragon Perforator	321	220			Tetrad Shot 3
1025	Albirath Bow I	1ーー	160	11, Fire	15	Critical Element 1, Ballistics 1
1026	Albirath Bow II	21ー	180	13, Fire	15	Critical Element 2, Ballistics 1
1027	Solar Spicule	321	210	15, Fire	15	Critical Element 2, Ballistics 1
1028	Prominence Bow I	21ー	180	16, Fire	10	Critical Boost 3
1029	Dark Filament	321	200	20, Fire	10	Critical Boost 3
1030	Queen Blaster I	21ー	160	11, Fire	15	Tetrad Shot 2, Poison Duration Up 1
1031	Queen Blaster II	32ー	190	13, Fire	15	Tetrad Shot 3, Poison Duration Up 1
1032	Queen's Melody	321	210	15, Fire	15	Tetrad Shot 3, Poison Duration Up 1
1033	Scylla Fist I	ーーー	120		20	Charge Master 1, Focus 1
1034	Scylla Fist II	21ー	150		20	Charge Master 1, Focus 1
1035	Scylla Fist III	32ー	180		20	Charge Master 2, Focus 1
1036	Nershock	321	210		20	Charge Master 2, Focus 1
1037	Dosha Fearbringer I	ーーー	140		-5, 20 Def	Stamina Thief 1
1038	Dosha Fearbringer II	11ー	180		-5, 20 Def	Stamina Thief 2
1039	Dosha Fearbringer III	22ー	210		-5, 20 Def	Stamina Thief 3
1040	Dosha Griefbringer I	1ーー	180		-15	Ballistics 1, Special Ammo Boost 1
1041	Dosha Griefbringer II	22ー	220		-15	Ballistics 2, Special Ammo Boost 1
1042	Griefbringer Urstox	331	250		-15	Ballistics 2, Special Ammo Boost 1
1043	Hunter's Bow I	ーーー	110			Focus 1
1044	Hunter's Bow II	ーーー	130			Focus 1, Attack Boost 1
1045	Hunter's Bow III	1ーー	170			Focus 2, Attack Boost 1
1046	Hunter's Bow IV	21ー	200			Focus 3, Attack Boost 1
1047	Hunter's Stoutbow	321	230			Focus 3, Attack Boost 1
1048	Blinding Fulgur I	21ー	180	16, Thunder	15	Critical Element 3
1049	Fulgurbow Guardiana	321	200	20, Thunder	15	Critical Element 3
1050	Uth Khviluk I	ーーー	160	10, Water	-20	Tetrad Shot 2
1051	Uth Khviluk II	21ー	190	14, Water	-20	Tetrad Shot 2
1052	Uth Khviluk III	32ー	220	17, Water	-20	Tetrad Shot 3
1053	Khviluk-of-the-Waves	321	240	20, Water	-20	Tetrad Shot 3
1054	Entbehrung I	32ー	180	12, Dragon	20	Critical Element 3
1055	Verzweiflung	321	210	15, Dragon	20	Critical Element 3
1056	Wild Power Bow I	ーーー	120		5	Special Ammo Boost 1
1057	Wild Power Bow II	21ー	170		5	Special Ammo Boost 1, Charge Master 1
1058	Wildwood Kalifa	331	220		5	Special Ammo Boost 2, Charge Master 1
1059	Blan Sharanga I	21ー	200	11, Ice	-10	Tetrad Shot 3
1060	Singha Sharanga	321	230	15, Ice	-10	Tetrad Shot 3
1061	Kut-Ku Stave I	21ー	170	23, Fire		Charge Master 2
1062	Kut-Ku Stave II	32ー	190	27, Fire		Charge Master 3
1063	Strange Kut-Ku Stave	321	200	30, Fire		Charge Master 3
1064	G. Veldian Arcum I	11ー	170	9, Dragon	-10	Focus 2
1065	G. Veldian Arcum II	22ー	210	12, Dragon	-10	Focus 2
1066	G. Renowned Tristram	331	240	15, Dragon	-10	Focus 2
1067	Veldian Arcum I	32ー	200	16, Dragon		Focus 3
1068	Artian Sight I	222	170	18	5	
1069	Artian Sight II	222	180	18	5	
1070	Angelbein	333	190	21	5	
1071	Esperanza Bow	321	220			Ballistics 3, Critical Eye 1
1072	Fearbringer Callistox	331	240		-5, 20 Def	Stamina Thief 3
1073	Renowned Tristram	321	220	20, Dragon		Focus 3
