id	name	slots	damage	element	affinity	skills
7000	Hope Cannon I	ーーー	90			
7001	Hope Cannon II	ーーー	100			Ballistics 1
7002	Hope Cannon III	ーーー	130			Ballistics 1, Critical Eye 1
7003	Hope Cannon IV	21ー	160			Ballistics 2, Critical Eye 1
7004	Hope Cannon V	32ー	190			Ballistics 3, Critical Eye 1
7005	Chata Sheller I	ーーー	110		, 15 Def	Opening Shot 1
7006	Chata Sheller II	ーーー	150		, 15 Def	Opening Shot 2
7007	Chata Sheller III	21ー	180		, 15 Def	Opening Shot 2
7008	Chata Sheller IV	32ー	210		, 15 Def	Opening Shot 3
7009	Power Stinger	ーーー	120		5	Special Ammo Boost 1
7010	Power Stinger II	21ー	170		5	Special Ammo Boost 1, Opening Shot 1
7011	Wild Stinger	331	220		5	Special Ammo Boost 2, Opening Shot 1
7012	Uth Dalgap I	ーーー	160		-15	Tetrad Shot 2
7013	Uth Dalgap II	21ー	190		-15	Tetrad Shot 2
7014	Uth Dalgap III	32ー	220		-15	Tetrad Shot 3
7015	Dalgap-of-the-Waves	321	240		-15	Tetrad Shot 3
7016	Rompo Sniper I	ーーー	140			Guard Up 2
7017	Rompo Sniper II	21ー	170			Guard Up 2
7018	Rompo Sniper III	32ー	200			Guard Up 3
7019	Rompo Latrotox	321	220			Guard Up 3
7020	Ner Bustergun I	ーーー	120		10	Offensive Guard 1, Guard 1
7021	Ner Bustergun II	21ー	150		15	Offensive Guard 1, Guard 1
7022	Ner Bustergun III	32ー	180		15	Offensive Guard 2, Guard 1
7023	Buster Blaster	321	200		15	Offensive Guard 2, Guard 1
7024	Nu Muneo I	1ーー	170		-15	Opening Shot 2
7025	Nu Muneo II	32ー	210		-15	Opening Shot 3
7026	Abaddonian Muneo	321	230		-15	Opening Shot 3
7027	Jin Dhaphal I	32ー	190			Guard 3
7028	Precipice Malmiam	321	210			Guard 3
7029	Iron Assault I	ーーー	120			Tetrad Shot 1
7030	Iron Assault II	1ーー	160			Tetrad Shot 2
7031	Iron Assault III	21ー	190			Tetrad Shot 3
7032	Steel Assault	321	220			Tetrad Shot 3
7033	Bone Shooter I	ーーー	110			Guard 1
7034	Bone Shooter II	ーーー	130			Guard 1, Attack Boost 1
7035	Bone Shooter III	1ーー	170			Guard 2, Attack Boost 1
7036	Bone Shooter IV	21ー	200			Guard 3, Attack Boost 1
7037	Heavy Shooter	321	230			Guard 3, Attack Boost 1
7038	Yian Kut-Ku Cannon I	21ー	180			Slugger 2
7039	Yian Kut-Ku Cannon II	32ー	210			Slugger 3
7040	Super Kut-Ku Cannon	321	220			Slugger 3
7041	Tankmage I	21ー	180			Guard 2
7042	Tankmage II	21ー	200			Guard 3
7043	Tanksorcerer	321	230			Guard 3
7044	Queen's Longfire I	21ー	160		15	Tetrad Shot 2, Poison Duration Up 1
7045	Queen's Longfire II	32ー	190		15	Tetrad Shot 3, Poison Duration Up 1
7046	Queen's Farflier	321	210		15	Tetrad Shot 3, Poison Duration Up 1
7047	Grounding Fulgur I	21ー	180		15	Critical Element 3
7048	Fulgurblast Guardiana	321	210		15	Critical Element 3
7049	Gravios Howl I	21ー	210		-15, 30 Def	Guard Up 3
7050	Gravios Gigahowl	321	240		-15, 30 Def	Guard Up 3
7051	Tödlicher Abzug I	32ー	180		20	Critical Element 3
7052	Ableben Abzug	321	200		20	Critical Element 3
7053	G. Veldian Tormentum I	11ー	170		-10	Tetrad Shot 2
7054	G. Veldian Tormentum II	22ー	210		-10	Tetrad Shot 2
7055	G. Aeternal Palamedes	331	240		-10	Tetrad Shot 2
7056	Veldian Tormentum I	32ー	200			Tetrad Shot 3
7057	Artian Sheller I	222	170		5	
7058	Artian Sheller II	222	180		5	
7059	Greifen	333	190		5	
7060	Esperanza Cannon	321	210			Ballistics 3, Critical Eye 1
7061	Shrouded Muktana	321	230		, 15 Def	Opening Shot 3
7062	Aeternal Palamedes	321	220			Tetrad Shot 3
