id	name	slots	damage	element	affinity	skills
8000	Hope Horn I	ーーー	90			
8001	Hope Horn II	ーーー	100			Speed Sharpening 1
8002	Hope Horn III	ーーー	130			Speed Sharpening 1, Critical Eye 1
8003	Hope Horn IV	21ー	160			Speed Sharpening 2, Critical Eye 1
8004	Hope Horn V	32ー	190			Speed Sharpening 2, Critical Eye 1
8005	Bone Horn I	ーーー	110			Stamina Thief 1
8006	Bone Horn II	ーーー	130			Stamina Thief 1, Attack Boost 1
8007	Bone Horn III	1ーー	170			Stamina Thief 2, Attack Boost 1
8008	Bone Horn IV	21ー	190			Stamina Thief 3, Attack Boost 1
8009	Hardened Bone Horn	321	220			Stamina Thief 3, Attack Boost 1
8010	Metal Bagpipe I	ーーー	120			Critical Draw 1, Horn Maestro 1
8011	Metal Bagpipe II	1ーー	160			Critical Draw 2, Horn Maestro 1
8012	Metal Bagpipe III	21ー	180			Critical Draw 3, Horn Maestro 1
8013	Great Bagpipe	321	210			Critical Draw 3, Horn Maestro 1
8014	War Bongo I	ーーー	110		5	Horn Maestro 1
8015	War Bongo II	211	160		5	Horn Maestro 1, Speed Sharpening 1
8016	War Conga	331	210		5	Horn Maestro 2, Speed Sharpening 1
8017	Balahara Horn I	ーーー	110	16, Water	10	Slugger 1
8018	Balahara Horn II	1ーー	150	20, Water	10	Slugger 2
8019	Balahara Horn III	21ー	160	23, Water	10	Slugger 2
8020	Balahara Horn IV	32ー	190	27, Water	10	Slugger 3
8021	Sandsea Ghantisil	321	210	30, Water	10	Slugger 3
8022	Dosha Farsounder I	ーーー	140		-5, 20 Def	Slugger 1
8023	Dosha Farsounder II	1ーー	180		-5, 20 Def	Slugger 1, Horn Maestro 1
8024	Dosha Farsounder III	21ー	210		-5, 20 Def	Slugger 2, Horn Maestro 1
8025	Rey Perun I	ーーー	140	18, Thunder		Stamina Thief 2, Horn Maestro 1
8026	Rey Perun II	21ー	170	23, Thunder		Stamina Thief 2, Horn Maestro 1
8027	Rey Perun III	32ー	200	27, Thunder		Stamina Thief 3, Horn Maestro 1
8028	Perun Clairhorn	321	220	30, Thunder		Stamina Thief 3, Horn Maestro 1
8029	Ajara Reverberator I	ーーー	130	14, Nitro	10	Slugger 2
8030	Ajara Reverberator II	21ー	180	19, Nitro	10	Slugger 3
8031	Ajara-Jivaka	321	210	25, Nitro	10	Slugger 3
8032	Dosha Grudgesounder I	1ーー	180		-15	Stamina Thief 2, Horn Maestro 1
8033	Dosha Grudgesounder II	21ー	220		-15	Stamina Thief 3, Horn Maestro 1
8034	Grudgesounder Urga	321	250		-15	Stamina Thief 3, Horn Maestro 1
8035	Albirath Feroce I	1ーー	160	21, Fire	15	Master's Touch 1, Critical Element 1
8036	Albirath Feroce II	21ー	170	26, Fire	15	Master's Touch 1, Critical Element 1
8037	G. Rathalos Feroce	321	200	30, Fire	15	Master's Touch 1, Critical Element 1
8038	Jin Dhaang I	32ー	190	47, Ice		Slugger 3
8039	Precipice Kovira	321	210	50, Ice		Slugger 3
8040	Nihil Chord I	1ーー	160	16, Water		Stamina Thief 2, Horn Maestro 1
8041	Nihil Chord II	21ー	190	21, Water		Stamina Thief 3, Horn Maestro 1
8042	Kae-Jin's Lament	321	220	25, Water		Stamina Thief 3, Horn Maestro 1
8043	G. Veldian Sibilus I	11ー	170	16, Dragon	-10	Horn Maestro 2
8044	G. Veldian Sibilus II	22ー	200	21, Dragon	-10	Horn Maestro 2
8045	G. Resounding Galahad	331	230	25, Dragon	-10	Horn Maestro 2
8046	Kut-Ku's Song I	21ー	190	41, Fire		Stamina Thief 2, Horn Maestro 1
8047	Kut-Ku's Song II	32ー	220	47, Fire		Stamina Thief 3, Horn Maestro 1
8048	Kut-Ku Cantabile	321	230	50, Fire		Stamina Thief 3, Horn Maestro 1
8049	Poisoned Capri I	21ー	180	31, Poison		Critical Draw 2, Horn Maestro 1
8050	Poisoned Capri II	21ー	200	34, Poison		Critical Draw 3, Horn Maestro 1
8051	Crazed Melody	321	230	40, Poison		Critical Draw 3, Horn Maestro 1
8052	Valkyrie Chordmaker I	21ー	150	19, Poison	15	Critical Status 2, Poison Duration Up 1
8053	Valkyrie Chordmaker II	32ー	180	22, Poison	15	Critical Status 3, Poison Duration Up 1
8054	Queen Chordmaker	321	200	25, Poison	15	Critical Status 3, Poison Duration Up 1
8055	Deafening Fulgur I	21ー	180	34, Thunder	15	Critical Element 3
8056	Fulgurhowl Guardiana	321	210	40, Thunder	15	Critical Element 3
8057	Flame Feroce I	21ー	180	34, Fire	10	Critical Boost 3
8058	Rathalos Feroce	321	200	40, Fire	10	Critical Boost 3
8059	Kummerklang I	32ー	170	27, Dragon	20	Critical Element 3
8060	Gramklang	321	200	30, Dragon	20	Critical Element 3
