id	name	slots	damage	element	affinity	skills
9000	Hope Glaive I	ーーー	90			
9001	Hope Glaive II	ーーー	100			Speed Sharpening 1
9002	Hope Glaive III	ーーー	130			Speed Sharpening 1, Critical Eye 1
9003	Hope Glaive IV	21ー	160			Speed Sharpening 2, Critical Eye 1
9004	Hope Glaive V	32ー	190			Speed Sharpening 2, Critical Eye 1
9005	Bone Staff I	ーーー	110			Focus 1
9006	Bone Staff II	ーーー	130			Focus 1, Attack Boost 1
9007	Bone Staff III	1ーー	170			Focus 2, Attack Boost 1
9008	Bone Staff IV	21ー	200			Focus 3, Attack Boost 1
9009	Aerial Glaive	321	230			Focus 3, Attack Boost 1
9010	Iron Gale I	ーーー	120			Critical Draw 1
9011	Iron Gale II	11ー	160			Critical Draw 2
9012	Iron Gale III	22ー	190			Critical Draw 2
9013	Chrome Gale	331	220			Critical Draw 3
9014	Chata Glaive I	ーーー	110		, 15 Def	Power Prolonger 1
9015	Chata Glaive II	ーーー	150		, 15 Def	Power Prolonger 2
9016	Chata Glaive III	21ー	180		, 15 Def	Power Prolonger 2
9017	Chata Glaive IV	32ー	210		, 15 Def	Power Prolonger 3
9018	Barina Perche I	ーーー	100	10, Paralysis	10	Critical Draw 1
9019	Barina Perche II	ーーー	120	12, Paralysis	10	Critical Draw 1, Critical Status 1
9020	Barina Perche III	21ー	150	15, Paralysis	15	Critical Draw 1, Critical Status 1
9021	Barina Perche IV	32ー	180	17, Paralysis	15	Critical Draw 2, Critical Status 1
9022	Lala Stromatopelm	321	200	20, Paralysis	15	Critical Draw 2, Critical Status 1
9023	Balahara Glaive I	ーーー	110	10, Water	10	Power Prolonger 1
9024	Balahara Glaive II	1ーー	150	12, Water	10	Power Prolonger 2
9025	Balahara Glaive III	21ー	160	15, Water	10	Power Prolonger 2
9026	Balahara Glaive IV	32ー	190	17, Water	10	Power Prolonger 3
9027	Sandsea Uchaltiya	321	210	20, Water	10	Power Prolonger 3
9028	Rey Halilintar I	ーーー	140	12, Thunder		Focus 1, Charge Master 1
9029	Rey Halilintar II	21ー	170	15, Thunder		Focus 1, Charge Master 1
9030	Rey Halilintar III	32ー	200	17, Thunder		Focus 2, Charge Master 1
9031	Halilintar Clairglaive	321	220	20, Thunder		Focus 2, Charge Master 1
9032	Stealth Glaive I	ーーー	120	12, Sleep	10	Charge Master 1, Focus 1
9033	Stealth Glaive II	21ー	150	15, Sleep	15	Charge Master 1, Focus 1
9034	Stealth Glaive III	32ー	180	17, Sleep	15	Charge Master 2, Focus 1
9035	Stealth Glaive Redux	321	200	20, Sleep	15	Charge Master 2, Focus 1
9036	Ajara Trident I	ーーー	130	12, Nitro	10	Power Prolonger 2
9037	Ajara Trident II	21ー	180	15, Nitro	10	Power Prolonger 3
9038	Ajara-Bhadra	321	210	18, Nitro	10	Power Prolonger 3
9039	Guardian Rathmaul I	1ーー	160	12, Fire	15	Master's Touch 1, Critical Element 1
9040	Guardian Rathmaul II	21ー	180	17, Fire	15	Master's Touch 1, Critical Element 1
9041	Alabaster Rathmaul	321	210	20, Fire	15	Master's Touch 1, Critical Element 1
9042	Jin Dhachhad	32ー	190	32, Ice		Power Prolonger 3
9043	Precipice Geumgel	321	210	35, Ice		Power Prolonger 3
9044	Chthonian Vajra I	1ーー	140	16, Dragon	10	Focus 2
9045	Chthonian Vajra II	21ー	170	21, Dragon	10	Focus 3
9046	Bequeathed Testament	321	210	25, Dragon	10	Focus 3
9047	G. Veldian Trudis I	11ー	170	12, Dragon	-10	Power Prolonger 2
9048	G. Veldian Trudis II	22ー	210	15, Dragon	-10	Power Prolonger 2
9049	G. Enduring Tor	331	240	18, Dragon	-10	Power Prolonger 2
9050	Kut-Ku Pike I	21ー	180	26, Fire		Power Prolonger 2
9051	Kut-Ku Pike II	32ー	210	32, Fire		Power Prolonger 3
9052	Toucan Pike	321	220	35, Fire		Power Prolonger 3
9053	Princess Regalia I	21ー	160	12, Poison	15	Critical Status 2, Poison Duration Up 1
9054	Princess Regalia II	32ー	190	15, Poison	15	Critical Status 3, Poison Duration Up 1
9055	Queen Regalia	321	210	18, Poison	15	Critical Status 3, Poison Duration Up 1
9056	Rising Fulgur I	21ー	180	21, Thunder	15	Critical Element 3
9057	Fulgurglaive Guardiana	321	210	25, Thunder	15	Critical Element 3
9058	Blizzard Glaive I	21ー	200	14, Ice	-10	Focus 3
9059	Immaculate Blizzard	321	230	18, Ice	-10	Focus 3
9060	Graviafaren I	22ー	220	19, Nitro	-15, 30 Def	Punishing Draw 3
9061	Gravordius	331	250	25, Nitro	-15, 30 Def	Punishing Draw 3
9062	Rathmaul I	21ー	180	21, Fire	10	Critical Boost 3
9063	Firedance Rathmaul	321	200	25, Fire	10	Critical Boost 3
9064	Leumundslist	32ー	180	16, Dragon	20	Critical Element 3
9065	Leumundsgift	321	200	20, Dragon	20	Critical Element 3
9066	Veldian Trudis I	32ー	200	22, Dragon		Power Prolonger 3
9067	Artian Glaive I	222	170	22	5	
9068	Artian Glaive II	222	180	22	5	
9069	Diprielcha	333	190	26	5	
9070	Esperanza Glaive	321	210			Speed Sharpening 2, Critical Eye 2
9071	Shrouded Laphoka	321	230		, 15 Def	Power Prolonger 3
9072	Enduring Tor	321	220	25, Dragon		Power Prolonger 3
